"","x"
"1","Abriano"
"2","Albino"
"3","Anastasio"
"4","Avenanzo"
"5","Barastro"
"6","Barbani"
"7","Barberius"
"8","Baro"
"9","Batello"
"10","Belli"
"11","Bellono"
"12","Bendolo"
"13","Bilongo"
"14","Biondo"
"15","Bocca d'Uomo"
"16","Bonizzo"
"17","Bonoto"
"18","Bosio"
"19","Bozolino"
"20","Canal"
"21","Casolo"
"22","Cavalerio"
"23","Cazzamonti"
"24","Centocori"
"25","Centosoldi"
"26","Copula"
"27","Curtolo"
"28","d'Albiola"
"29","d'Ancontano"
"30","da Ferraguto"
"31","da Mantova"
"32","da Trau"
"33","da Tumba"
"34","da Vicenza"
"35","Dauro"
"36","de Albrigeto"
"37","de Galletto"
"38","de Iema"
"39","De Laurentio"
"40","de Manzolo"
"41","de Protis"
"42","de Ranerio"
"43","de Rodanis da Cremona"
"44","de Stolla"
"45","de Suligo"
"46","dei Boccoli"
"47","di Albiola"
"48","di Artico"
"49","di Bruges"
"50","di Burges"
"51","di donna Maria"
"52","di Federico"
"53","di Fioravante"
"54","di Guazo"
"55","di Loreo"
"56","di Troia"
"57","Duracino"
"58","Encio"
"59","Fel"
"60","Fiorentino"
"61","Flabiano"
"62","Francesco"
"63","Giacobbe"
"64","Giacomo"
"65","Gramentuni"
"66","Grasso"
"67","Groscalco"
"68","Guido"
"69","Iantani"
"70","Katarino"
"71","Lanfranchi"
"72","Lissado da Luprio"
"73","Maciacavallo"
"74","Mangoni"
"75","Manguni"
"76","Marangon"
"77","Marano"
"78","Martinazo"
"79","Marzolo"
"80","Marzulo"
"81","Mastropetro"
"82","Mastrorso"
"83","Mastroscoli"
"84","Mercadante"
"85","Messeta"
"86","Morono"
"87","Mozo"
"88","Orefice"
"89","Pagan"
"90","Pentulo"
"91","Pergaminer"
"92","Pigozo"
"93","Pizolo"
"94","Rachovich"
"95","Roberto"
"96","Rosso"
"97","Rozeri"
"98","Russo"
"99","Rustico"
"100","Sceda"
"101","Scutario"
"102","Seio"
"103","Simitecolo"
"104","Simone"
"105","Sirano"
"106","Spatario"
"107","Speziale"
"108","Spoletino"
"109","Squaglia"
"110","Staniario"
"111","Straccivendolo"
"112","Tebaldo"
"113","Tomato"
"114","Villano"
"115","Villari"
"116","Vitaliano"
"117","Voltani"
"118","Zopolo"
